Policy,Service level,Lost units,Waste units,Total decision cost,Retained margin proxy,Average stock
Seasonal-naive policy,0.6665220221306141,19981.0,8024.750000000001,63084.13250468853,50532.43449543009,16.21701388888889
Probabilistic ML policy,0.9580252682877981,2515.0,17079.0,58712.151364307785,54904.41563581083,27.809771825396826
